person_gender,person_education,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,person_age,person_income,loan_amnt,cb_person_cred_hist_length,loan_status
female,High School,2,MORTGAGE,DEBTCONSOLIDATION,5.42,0.06,656,Yes,23,67186,3850,2,0
female,High School,2,RENT,VENTURE,6.62,0.12,570,Yes,24,57439,7000,3,0
male,Master,2,MORTGAGE,DEBTCONSOLIDATION,8.49,0.12,631,No,24,67221,8000,3,0
male,High School,0,MORTGAGE,VENTURE,11.49,0.02,615,Yes,23,66971,1500,3,0
female,Associate,0,RENT,MEDICAL,6.54,0.12,610,Yes,24,56893,7000,4,0
male,Bachelor,4,OWN,PERSONAL,15.23,0.09,666,No,25,67302,6000,3,0
male,Associate,0,MORTGAGE,EDUCATION,7.49,0.12,629,Yes,23,66837,8000,4,0
male,Bachelor,1,RENT,VENTURE,14.96,0.12,653,No,21,57371,7000,3,0
female,Associate,0,MORTGAGE,MEDICAL,7.49,0.12,642,No,23,67043,8000,4,0
female,High School,0,MORTGAGE,MEDICAL,13.99,0.15,615,No,23,67030,10000,3,0
male,Bachelor,0,RENT,VENTURE,15.7,0.14,682,No,22,50898,7000,3,1
male,Bachelor,6,RENT,MEDICAL,12.69,0.12,636,Yes,26,58740,7000,2,0
female,Master,5,RENT,MEDICAL,5.79,0.12,633,Yes,26,58455,7000,3,0
male,High School,2,RENT,EDUCATION,8.94,0.12,617,No,23,58467,7000,3,0
female,High School,4,RENT,MEDICAL,9.63,0.12,683,Yes,26,58650,7000,2,0
female,High School,1,MORTGAGE,EDUCATION,11.11,0.07,609,No,23,67293,5000,2,0
female,Associate,3,RENT,MEDICAL,7.9,0.12,640,Yes,25,59049,7000,3,0
male,Master,0,RENT,MEDICAL,11.01,0.12,677,Yes,23,60718,7000,4,0
male,High School,0,RENT,MEDICAL,15.27,0.11,617,Yes,21,61182,7000,4,0
female,Master,3,MORTGAGE,EDUCATION,11.01,0.14,643,No,24,66723,9600,3,0
female,High School,1,RENT,DEBTCONSOLIDATION,11.71,0.12,661,Yes,24,60718,7000,3,0
male,Associate,1,MORTGAGE,MEDICAL,7.29,0.17,552,Yes,26,66815,11300,4,0
female,Associate,0,MORTGAGE,PERSONAL,7.66,0.07,621,Yes,22,67225,5000,2,0
male,Associate,1,RENT,VENTURE,11.01,0.11,668,Yes,23,60958,7000,2,0
male,High School,4,MORTGAGE,VENTURE,6.92,0.07,602,Yes,26,67257,5000,3,0
female,High School,0,RENT,MEDICAL,10.37,0.11,549,Yes,21,61088,7000,4,0
male,High School,0,RENT,VENTURE,7.66,0.11,598,Yes,22,61081,7000,3,0
female,Bachelor,7,MORTGAGE,EDUCATION,10.0,0.15,576,Yes,26,66797,10000,2,0
male,High School,0,MORTGAGE,EDUCATION,9.63,0.18,569,Yes,22,67175,12000,4,0
female,Bachelor,1,MORTGAGE,DEBTCONSOLIDATION,5.79,0.15,581,Yes,24,66742,10000,3,0
male,High School,3,OWN,EDUCATION,10.74,0.37,669,Yes,22,66711,25000,2,0
male,High School,1,RENT,EDUCATION,7.51,0.12,659,Yes,23,60736,7000,4,0
female,Master,0,MORTGAGE,HOMEIMPROVEMENT,11.01,0.13,568,Yes,25,66824,8500,2,0
female,Bachelor,0,MORTGAGE,VENTURE,9.99,0.18,654,Yes,22,66945,12000,4,0
male,Master,3,RENT,VENTURE,9.63,0.11,671,No,26,61037,7000,2,0
female,Bachelor,0,RENT,EDUCATION,9.32,0.12,607,Yes,23,60857,7000,3,0
male,High School,3,MORTGAGE,PERSONAL,6.17,0.22,590,No,23,67013,15000,2,0
male,High School,0,MORTGAGE,PERSONAL,5.79,0.17,636,No,22,59480,10000,4,1
female,High School,0,RENT,HOMEIMPROVEMENT,11.46,0.13,619,No,21,53492,7000,2,1
male,Bachelor,3,RENT,PERSONAL,11.01,0.12,697,No,26,60755,7000,4,0
male,Bachelor,2,MORTGAGE,PERSONAL,6.17,0.12,634,Yes,23,66888,7750,4,0
male,High School,2,RENT,MEDICAL,6.99,0.11,644,Yes,23,62030,7000,3,0
female,Bachelor,0,RENT,PERSONAL,14.96,0.13,662,No,21,54898,7000,4,1
male,Associate,0,RENT,VENTURE,12.18,0.11,579,No,22,61970,7000,2,0
female,Bachelor,1,RENT,EDUCATION,10.65,0.11,575,No,23,63291,7000,2,0
male,High School,0,MORTGAGE,HOMEIMPROVEMENT,5.42,0.09,600,No,24,67049,6000,3,0
male,Master,0,RENT,HOMEIMPROVEMENT,10.59,0.11,671,No,25,63385,7000,2,0
female,Master,0,MORTGAGE,MEDICAL,12.98,0.07,691,Yes,22,67145,4800,4,0
male,Bachelor,1,MORTGAGE,EDUCATION,6.54,0.18,687,No,22,66846,12000,4,0
male,Bachelor,0,RENT,EDUCATION,7.49,0.11,664,No,21,63023,7000,4,0
male,Bachelor,4,RENT,EDUCATION,7.88,0.11,660,No,26,63507,7000,3,0
female,Associate,5,MORTGAGE,DEBTCONSOLIDATION,5.79,0.16,689,Yes,26,67056,10500,2,0
male,Bachelor,3,RENT,MEDICAL,7.74,0.11,656,Yes,24,63385,7000,4,0
female,High School,1,OWN,EDUCATION,5.42,0.03,571,Yes,22,66886,2200,3,0
female,Bachelor,0,RENT,DEBTCONSOLIDATION,12.53,0.11,591,Yes,25,62920,7000,3,0
female,Associate,0,OWN,VENTURE,6.91,0.02,657,Yes,22,67179,1275,3,0
male,Associate,1,RENT,PERSONAL,17.58,0.11,625,Yes,22,64415,7000,3,0
male,High School,7,MORTGAGE,DEBTCONSOLIDATION,6.91,0.25,613,Yes,25,66719,17000,4,0
female,Associate,4,MORTGAGE,DEBTCONSOLIDATION,16.45,0.22,648,No,26,59573,13000,3,1
male,Associate,0,OWN,VENTURE,11.49,0.01,634,No,23,67358,1000,4,0
female,Associate,0,RENT,DEBTCONSOLIDATION,13.61,0.11,654,Yes,22,66012,7000,4,0
male,Associate,3,MORTGAGE,MEDICAL,7.88,0.22,648,Yes,25,66768,15000,2,0
male,Master,4,RENT,EDUCATION,13.47,0.11,697,No,22,65866,7000,2,0
female,Associate,5,MORTGAGE,DEBTCONSOLIDATION,11.12,0.04,555,No,24,66996,3000,2,0
male,Bachelor,0,RENT,DEBTCONSOLIDATION,9.91,0.11,587,Yes,23,65730,7000,3,0
male,Associate,2,RENT,EDUCATION,7.49,0.12,568,No,24,59756,7000,3,1
male,Bachelor,0,MORTGAGE,EDUCATION,10.75,0.15,657,Yes,23,66956,10000,4,0
male,High School,1,OWN,EDUCATION,10.38,0.16,656,Yes,23,66898,11000,3,0
male,High School,1,OWN,MEDICAL,11.01,0.24,528,Yes,24,67369,16000,3,0
male,Bachelor,0,MORTGAGE,EDUCATION,14.72,0.15,626,No,21,67116,10000,2,0
male,Associate,0,RENT,EDUCATION,10.74,0.07,664,Yes,23,103124,7000,3,0
male,High School,0,MORTGAGE,MEDICAL,15.21,0.08,628,No,23,59787,5000,2,1
male,High School,5,RENT,EDUCATION,10.99,0.06,552,No,25,107854,7000,3,0
female,Bachelor,3,MORTGAGE,HOMEIMPROVEMENT,7.88,0.15,642,Yes,26,67220,9800,3,0
male,High School,2,RENT,EDUCATION,11.01,0.06,641,Yes,23,107788,7000,3,0
female,High School,6,MORTGAGE,EDUCATION,14.84,0.11,578,Yes,24,67228,7500,2,0
female,Associate,2,RENT,MEDICAL,10.65,0.06,655,Yes,23,109051,7000,2,0
male,Master,0,RENT,PERSONAL,13.49,0.06,617,No,26,108920,7000,3,0
female,Associate,6,RENT,DEBTCONSOLIDATION,12.69,0.12,670,Yes,26,60806,7150,2,0
male,Bachelor,2,MORTGAGE,DEBTCONSOLIDATION,13.98,0.19,594,No,26,66957,13000,3,0
male,High School,4,RENT,HOMEIMPROVEMENT,6.99,0.1,547,Yes,26,74571,7150,2,0
male,High School,1,MORTGAGE,VENTURE,13.23,0.1,652,Yes,23,66832,7000,2,0
male,Bachelor,2,MORTGAGE,MEDICAL,6.76,0.04,650,No,26,66967,3000,2,0
female,Bachelor,1,RENT,DEBTCONSOLIDATION,7.49,0.07,633,Yes,23,102685,7175,4,0
female,High School,0,RENT,DEBTCONSOLIDATION,11.71,0.4,611,No,22,18121,7200,4,1
female,Bachelor,3,MORTGAGE,VENTURE,7.88,0.07,562,Yes,24,66717,5000,4,0
male,Bachelor,4,RENT,DEBTCONSOLIDATION,6.91,0.28,539,No,22,26036,7200,4,1
female,Bachelor,0,MORTGAGE,EDUCATION,7.51,0.16,534,Yes,21,67259,10500,3,0
male,Bachelor,7,RENT,VENTURE,10.38,0.26,624,No,26,27234,7200,3,1
male,Master,4,RENT,VENTURE,5.79,0.26,656,No,25,27892,7200,2,1
female,Associate,5,RENT,DEBTCONSOLIDATION,12.69,0.25,624,No,24,28973,7200,2,1
female,Associate,0,MORTGAGE,DEBTCONSOLIDATION,13.85,0.12,664,Yes,23,67172,8000,4,0
male,Associate,2,RENT,EDUCATION,12.68,0.23,668,Yes,23,30909,7200,4,0
male,High School,2,MORTGAGE,PERSONAL,10.25,0.15,622,No,21,67349,10000,2,0
female,Bachelor,0,MORTGAGE,PERSONAL,10.62,0.15,700,Yes,22,66815,10000,2,0
male,Associate,2,RENT,EDUCATION,11.86,0.23,670,No,23,31280,7200,4,1
male,Bachelor,1,OWN,VENTURE,12.73,0.22,566,Yes,26,67071,14500,2,0
female,Master,0,RENT,PERSONAL,9.99,0.21,620,No,23,34478,7200,2,0
male,Associate,2,RENT,MEDICAL,10.59,0.21,559,No,22,34387,7200,3,0
female,High School,1,MORTGAGE,EDUCATION,10.25,0.13,620,No,22,59890,8000,4,1
male,Associate,0,MORTGAGE,PERSONAL,7.51,0.09,674,Yes,24,66904,6000,4,0
male,High School,3,MORTGAGE,EDUCATION,9.88,0.12,496,Yes,23,66763,8000,3,0
male,Associate,0,RENT,VENTURE,11.71,0.2,659,No,22,36727,7200,3,0
female,High School,0,RENT,MEDICAL,8.9,0.2,633,No,22,36715,7200,2,1
male,Bachelor,4,MORTGAGE,PERSONAL,13.85,0.19,658,Yes,22,66830,13000,3,0
male,Associate,0,RENT,DEBTCONSOLIDATION,11.71,0.18,678,No,21,39065,7200,4,1
female,High School,0,RENT,MEDICAL,13.79,0.18,576,Yes,24,39050,7200,2,0
male,Bachelor,0,RENT,EDUCATION,5.42,0.18,654,Yes,21,39423,7200,4,0
male,Bachelor,5,RENT,MEDICAL,12.84,0.18,696,No,25,39751,7200,4,0
female,Bachelor,3,MORTGAGE,EDUCATION,11.01,0.22,626,Yes,25,66880,15000,3,0
female,Master,2,RENT,MEDICAL,9.51,0.18,602,Yes,25,39985,7200,4,0
male,High School,0,OWN,DEBTCONSOLIDATION,14.61,0.08,599,No,22,66391,5000,2,0
female,Bachelor,0,OWN,VENTURE,8.59,0.01,562,Yes,22,66891,1000,3,0
male,High School,0,RENT,VENTURE,7.9,0.17,586,Yes,22,42201,7200,4,0
male,Associate,0,MORTGAGE,PERSONAL,19.82,0.25,637,No,23,59747,15000,2,1
male,Master,4,RENT,MEDICAL,12.73,0.17,702,Yes,26,41964,7200,3,0
male,High School,1,RENT,MEDICAL,8.9,0.17,666,No,25,43222,7200,3,0
male,Master,0,MORTGAGE,EDUCATION,8.59,0.1,702,No,23,67065,7000,2,0
female,Master,2,MORTGAGE,VENTURE,8.59,0.08,648,No,24,66701,5500,3,0
male,Bachelor,5,MORTGAGE,PERSONAL,8.94,0.15,603,Yes,25,66863,10200,3,0
female,High School,3,OWN,EDUCATION,13.57,0.15,580,No,25,66710,10000,2,0
male,Associate,2,OWN,PERSONAL,7.4,0.03,558,No,22,67156,2000,3,0
male,Associate,0,RENT,DEBTCONSOLIDATION,12.69,0.17,647,No,21,43039,7200,3,0
male,Master,1,RENT,PERSONAL,9.99,0.17,615,Yes,25,43306,7200,4,0
female,Bachelor,0,RENT,MEDICAL,11.01,0.17,621,Yes,24,43239,7200,2,0
male,Associate,0,RENT,DEBTCONSOLIDATION,14.54,0.19,648,No,23,38068,7200,3,1
male,Bachelor,7,MORTGAGE,MEDICAL,11.01,0.19,660,Yes,26,67018,12500,3,0
male,Bachelor,2,RENT,DEBTCONSOLIDATION,11.34,0.16,595,Yes,25,45256,7200,2,0
male,Master,4,RENT,EDUCATION,7.9,0.16,696,Yes,24,45745,7200,2,0
male,Bachelor,1,RENT,EDUCATION,8.9,0.16,584,No,24,45766,7200,4,0
female,Bachelor,1,RENT,DEBTCONSOLIDATION,7.9,0.15,717,No,23,46776,7200,4,0
female,Bachelor,4,MORTGAGE,MEDICAL,12.18,0.08,597,No,24,59465,5000,3,1
male,Bachelor,6,RENT,MEDICAL,9.91,0.15,600,No,26,46806,7200,2,0
male,High School,1,RENT,PERSONAL,13.48,0.15,643,Yes,23,47476,7200,3,0
male,Bachelor,0,RENT,EDUCATION,17.58,0.15,710,No,22,49047,7200,2,0
female,Master,0,RENT,PERSONAL,18.79,0.15,691,Yes,22,49045,7200,3,0
female,Doctorate,5,MORTGAGE,VENTURE,12.53,0.1,566,No,26,66910,7000,4,0
female,Associate,6,MORTGAGE,VENTURE,8.94,0.19,612,Yes,26,67233,12500,2,0
male,Bachelor,7,RENT,EDUCATION,9.88,0.15,628,Yes,25,49347,7200,4,0
female,Associate,1,MORTGAGE,DEBTCONSOLIDATION,13.22,0.03,573,No,25,66911,2000,2,0
female,High School,1,RENT,EDUCATION,12.53,0.14,661,Yes,24,49814,7200,2,0
female,High School,2,OWN,EDUCATION,9.32,0.06,553,Yes,22,66864,4000,4,0
female,Bachelor,0,RENT,EDUCATION,5.42,0.14,601,Yes,21,51237,7200,4,0
female,High School,0,OWN,MEDICAL,13.16,0.28,562,No,23,67070,18500,4,0
female,High School,2,RENT,VENTURE,8.0,0.14,630,Yes,23,52711,7200,2,0
male,High School,0,MORTGAGE,HOMEIMPROVEMENT,8.0,0.12,512,Yes,24,66944,8000,2,0
male,Bachelor,3,RENT,MEDICAL,13.49,0.14,672,No,24,53153,7200,4,0
female,Associate,6,MORTGAGE,VENTURE,8.0,0.09,658,Yes,24,67217,6000,2,0
female,Associate,3,MORTGAGE,HOMEIMPROVEMENT,12.21,0.13,672,Yes,26,67003,8500,2,0
male,High School,1,RENT,DEBTCONSOLIDATION,10.65,0.13,666,Yes,24,55050,7200,4,0
male,High School,0,RENT,PERSONAL,9.38,0.13,451,Yes,21,54848,7200,4,0
male,Associate,1,RENT,HOMEIMPROVEMENT,9.45,0.15,572,No,22,47813,7200,3,1
female,Bachelor,0,RENT,DEBTCONSOLIDATION,11.01,0.13,645,Yes,25,56059,7200,3,0
female,Associate,0,RENT,EDUCATION,12.42,0.12,526,Yes,22,58640,7200,4,0
male,Associate,4,RENT,PERSONAL,14.27,0.12,650,Yes,23,58429,7200,3,0
male,Associate,0,RENT,PERSONAL,11.71,0.12,581,No,23,58502,7200,2,0
male,Master,0,MORTGAGE,EDUCATION,15.68,0.21,667,No,25,66641,14000,4,0
female,Bachelor,0,RENT,PERSONAL,12.69,0.12,556,Yes,22,58689,7200,2,0
male,Bachelor,0,RENT,MEDICAL,9.62,0.12,645,Yes,22,58327,7200,4,0
female,High School,0,MORTGAGE,EDUCATION,8.0,0.17,597,No,22,59683,10000,2,1
female,Master,0,RENT,DEBTCONSOLIDATION,11.36,0.12,688,Yes,25,58793,7200,3,0
female,Associate,2,MORTGAGE,PERSONAL,11.01,0.22,574,Yes,24,67109,15000,3,0
male,High School,0,MORTGAGE,DEBTCONSOLIDATION,13.79,0.02,517,Yes,24,66649,1600,2,0
female,High School,3,RENT,MEDICAL,13.06,0.12,605,Yes,24,60773,7200,3,0
female,Associate,1,OTHER,VENTURE,9.32,0.06,689,No,23,66822,4000,2,0
female,Bachelor,1,RENT,VENTURE,11.71,0.12,618,Yes,24,61225,7200,2,0
male,Bachelor,0,RENT,DEBTCONSOLIDATION,11.01,0.12,600,Yes,22,61090,7200,4,0
male,Master,3,MORTGAGE,VENTURE,11.28,0.08,687,No,22,59634,5000,4,1
male,Bachelor,0,RENT,PERSONAL,8.49,0.12,631,Yes,25,61375,7200,2,0
female,High School,0,RENT,MEDICAL,7.29,0.12,615,Yes,25,60969,7200,4,0
female,Master,3,RENT,DEBTCONSOLIDATION,12.84,0.12,609,No,24,61174,7200,3,0
male,Associate,1,MORTGAGE,VENTURE,11.34,0.05,559,Yes,25,67161,3600,4,0
female,Bachelor,2,OTHER,PERSONAL,11.34,0.33,668,No,24,59776,20000,4,1
male,Master,0,MORTGAGE,DEBTCONSOLIDATION,9.2,0.22,687,Yes,23,67133,15000,4,0
male,Bachelor,0,RENT,EDUCATION,12.69,0.11,576,Yes,25,63273,7200,3,0
female,High School,1,MORTGAGE,HOMEIMPROVEMENT,8.07,0.08,589,Yes,24,66964,5275,4,0
female,Master,0,RENT,EDUCATION,12.53,0.11,643,Yes,24,66496,7200,2,0
female,High School,0,MORTGAGE,EDUCATION,14.74,0.14,593,Yes,23,67091,9600,2,0
female,High School,3,RENT,DEBTCONSOLIDATION,15.27,0.11,597,Yes,25,67327,7200,3,0
female,Bachelor,0,OWN,MEDICAL,13.16,0.16,592,Yes,23,67208,10500,4,0
male,High School,3,RENT,EDUCATION,11.01,0.11,624,Yes,24,67260,7200,3,0
female,Associate,0,RENT,DEBTCONSOLIDATION,7.66,0.11,671,Yes,22,66845,7200,2,0
female,High School,1,RENT,MEDICAL,7.9,0.11,554,Yes,25,67284,7200,2,0
female,Master,7,RENT,PERSONAL,10.38,0.12,664,No,25,60522,7200,2,1
female,Master,1,RENT,MEDICAL,17.58,0.12,539,No,23,60843,7200,2,1
female,Bachelor,2,RENT,DEBTCONSOLIDATION,14.67,0.12,646,No,23,61864,7200,3,1
female,High School,0,RENT,EDUCATION,8.0,0.1,649,Yes,22,71716,7200,3,0
female,Associate,1,MORTGAGE,PERSONAL,11.49,0.24,672,No,24,67572,16000,2,0
male,Master,0,RENT,VENTURE,8.49,0.1,666,No,24,72906,7200,2,0
male,High School,4,MORTGAGE,EDUCATION,12.42,0.06,570,No,25,67098,4225,2,0
male,High School,0,RENT,VENTURE,11.14,0.1,667,No,26,72773,7200,2,0
male,Master,5,RENT,HOMEIMPROVEMENT,13.48,0.1,611,No,25,72789,7200,4,0
female,Bachelor,0,RENT,EDUCATION,12.87,0.1,648,No,22,72895,7200,3,0
female,High School,0,MORTGAGE,MEDICAL,12.68,0.11,635,No,22,59865,6500,2,1
male,Master,4,RENT,EDUCATION,13.22,0.1,663,No,23,73111,7200,4,0
male,Bachelor,0,MORTGAGE,VENTURE,6.17,0.13,670,No,21,67289,8900,2,0
female,Master,2,RENT,MEDICAL,9.91,0.1,690,Yes,23,73074,7200,4,0
male,Master,2,MORTGAGE,MEDICAL,11.01,0.04,680,No,24,60126,2500,2,1
female,High School,0,RENT,PERSONAL,14.72,0.1,527,Yes,21,73848,7200,2,0
male,Associate,0,RENT,EDUCATION,10.99,0.1,651,No,21,74302,7200,3,0
male,Bachelor,0,MORTGAGE,DEBTCONSOLIDATION,11.86,0.03,645,No,23,66992,2000,3,0
male,Master,2,MORTGAGE,EDUCATION,10.08,0.06,677,Yes,23,67301,4000,4,0
male,Bachelor,0,RENT,EDUCATION,7.88,0.09,615,Yes,25,76807,7200,3,0
female,Bachelor,0,RENT,MEDICAL,15.96,0.09,602,Yes,23,77863,7200,3,0
female,High School,1,OWN,HOMEIMPROVEMENT,5.42,0.09,633,Yes,26,67478,6000,3,0
female,High School,3,RENT,EDUCATION,7.88,0.09,575,Yes,25,82055,7200,4,0
female,Associate,0,MORTGAGE,VENTURE,7.29,0.16,679,Yes,24,67349,11000,3,0
male,Master,3,RENT,EDUCATION,7.9,0.1,676,No,23,75492,7200,3,1
male,Associate,3,RENT,EDUCATION,14.72,0.09,645,No,23,83116,7200,2,0
male,Bachelor,3,MORTGAGE,VENTURE,13.11,0.25,654,No,26,60702,15250,3,1
male,Bachelor,1,RENT,EDUCATION,10.95,0.08,646,Yes,25,86909,7200,4,0
male,High School,0,RENT,VENTURE,13.61,0.08,549,Yes,22,90655,7200,4,0
male,High School,0,MORTGAGE,MEDICAL,7.37,0.04,644,Yes,22,67503,3000,2,0
female,Bachelor,2,MORTGAGE,HOMEIMPROVEMENT,5.99,0.12,573,Yes,24,67641,8000,4,0
female,High School,0,MORTGAGE,EDUCATION,6.62,0.05,671,Yes,21,67335,3200,4,0
male,Master,0,MORTGAGE,DEBTCONSOLIDATION,14.54,0.26,724,No,23,60802,16000,2,1
female,Associate,6,RENT,EDUCATION,9.63,0.08,612,Yes,26,92899,7200,3,0
male,Bachelor,2,RENT,DEBTCONSOLIDATION,8.9,0.07,650,No,23,97161,7200,2,0
male,Associate,5,RENT,DEBTCONSOLIDATION,9.25,0.07,635,No,23,97746,7200,4,0
male,Associate,0,RENT,VENTURE,8.49,0.07,669,Yes,21,101982,7200,2,0
male,High School,0,MORTGAGE,HOMEIMPROVEMENT,13.57,0.17,608,No,24,67574,11700,2,0
female,Associate,0,MORTGAGE,MEDICAL,10.99,0.1,615,Yes,24,68001,6500,2,0
female,Bachelor,0,MORTGAGE,PERSONAL,7.29,0.2,555,No,23,60541,12000,3,1
male,Bachelor,1,MORTGAGE,DEBTCONSOLIDATION,10.65,0.12,671,No,24,67958,7875,3,0
female,Bachelor,0,RENT,PERSONAL,14.96,0.08,611,No,25,89072,7200,3,1
male,Associate,1,RENT,DEBTCONSOLIDATION,13.47,0.07,598,Yes,25,107112,7200,3,0
male,Bachelor,1,MORTGAGE,MEDICAL,14.17,0.05,692,Yes,25,68111,3500,3,0
female,High School,2,MORTGAGE,PERSONAL,10.75,0.06,604,Yes,25,68051,4000,2,0
male,Bachelor,0,MORTGAGE,VENTURE,7.68,0.05,664,No,24,67941,3200,3,0
female,Associate,1,MORTGAGE,MEDICAL,11.36,0.32,599,Yes,23,67676,21825,2,0
male,Bachelor,6,RENT,DEBTCONSOLIDATION,9.91,0.07,562,Yes,26,108996,7200,2,0
male,Bachelor,3,MORTGAGE,PERSONAL,14.26,0.27,718,Yes,26,67978,18200,4,0
female,High School,3,MORTGAGE,EDUCATION,11.49,0.03,590,No,25,61178,2100,3,1
male,High School,5,MORTGAGE,MEDICAL,10.37,0.08,596,No,23,61376,4800,2,1
male,High School,2,MORTGAGE,DEBTCONSOLIDATION,11.01,0.18,633,Yes,24,67749,12000,3,0
male,High School,0,RENT,DEBTCONSOLIDATION,6.92,0.06,522,Yes,23,112784,7200,2,0
male,Associate,1,RENT,PERSONAL,11.71,0.06,683,Yes,23,126971,7200,4,0
male,Bachelor,0,MORTGAGE,EDUCATION,16.29,0.15,644,Yes,22,68469,10075,4,0
male,Associate,2,MORTGAGE,PERSONAL,14.65,0.15,631,No,25,67888,10250,4,0
male,Bachelor,2,RENT,HOMEIMPROVEMENT,12.18,0.05,625,No,26,134026,7200,3,0
male,Master,7,MORTGAGE,HOMEIMPROVEMENT,12.42,0.15,653,Yes,26,67814,10000,2,0
female,High School,0,MORTGAGE,VENTURE,6.03,0.11,578,Yes,23,68203,7200,2,0
male,Bachelor,2,MORTGAGE,MEDICAL,6.03,0.18,589,Yes,24,68271,12250,4,0
male,Master,0,RENT,HOMEIMPROVEMENT,9.91,0.04,693,Yes,25,162735,7200,3,0
female,Master,1,RENT,MEDICAL,11.01,0.04,653,No,25,179789,7200,2,0
female,Bachelor,2,RENT,HOMEIMPROVEMENT,10.65,0.1,592,No,25,75750,7250,4,0
female,Associate,5,MORTGAGE,DEBTCONSOLIDATION,15.23,0.09,674,No,26,68379,6000,4,0
female,Master,0,RENT,VENTURE,5.42,0.07,671,Yes,24,97101,7250,2,0
male,Bachelor,1,OWN,VENTURE,6.99,0.03,650,Yes,24,68014,2000,3,0
male,High School,3,RENT,MEDICAL,11.14,0.22,674,No,25,32871,7300,3,0
male,Associate,3,MORTGAGE,DEBTCONSOLIDATION,15.23,0.2,648,Yes,23,68134,13600,4,0
male,Bachelor,3,MORTGAGE,VENTURE,10.99,0.03,662,Yes,24,68072,2000,4,0
male,Bachelor,3,MORTGAGE,HOMEIMPROVEMENT,13.99,0.28,658,No,24,68603,19125,3,0
female,High School,3,MORTGAGE,PERSONAL,7.49,0.21,672,No,25,60597,12800,4,1
male,Master,1,MORTGAGE,MEDICAL,10.59,0.13,655,No,22,68261,9000,2,0
female,High School,3,RENT,DEBTCONSOLIDATION,7.88,0.16,639,Yes,26,45809,7300,4,0
female,Associate,0,RENT,MEDICAL,11.01,0.16,579,Yes,23,46594,7300,2,0
male,High School,3,MORTGAGE,EDUCATION,8.49,0.22,596,No,24,68047,15000,2,0
female,Bachelor,1,RENT,DEBTCONSOLIDATION,9.45,0.14,618,Yes,26,50631,7300,4,0
male,High School,0,MORTGAGE,EDUCATION,7.49,0.15,538,Yes,24,68208,10000,3,0
male,High School,2,RENT,VENTURE,7.88,0.13,631,No,22,56147,7300,2,0
male,Associate,5,MORTGAGE,MEDICAL,15.62,0.12,693,No,23,61475,7500,3,1
female,Associate,4,MORTGAGE,EDUCATION,5.42,0.07,581,Yes,25,68446,5000,3,0
female,Associate,0,MORTGAGE,VENTURE,11.49,0.18,671,Yes,25,67927,12375,4,0
female,High School,1,RENT,EDUCATION,11.71,0.12,646,Yes,21,61553,7300,3,0
male,Bachelor,1,MORTGAGE,EDUCATION,12.87,0.08,618,No,24,67986,5250,2,0
female,Bachelor,2,MORTGAGE,MEDICAL,5.99,0.25,669,Yes,24,68237,17400,2,0
female,Bachelor,4,RENT,EDUCATION,8.0,0.11,584,No,25,65510,7300,4,0
female,High School,2,RENT,EDUCATION,8.49,0.06,605,No,23,116311,7300,4,0
male,Bachelor,0,MORTGAGE,VENTURE,5.99,0.09,599,No,23,67987,6000,2,0
male,Associate,0,MORTGAGE,DEBTCONSOLIDATION,10.99,0.29,648,No,22,68299,20000,4,0
female,Associate,1,RENT,VENTURE,12.69,0.14,627,Yes,23,51303,7325,3,0
female,Bachelor,2,RENT,VENTURE,6.92,0.46,710,No,24,15935,7350,2,1
female,Bachelor,4,RENT,MEDICAL,13.43,0.18,585,Yes,25,40268,7350,3,0
female,High School,3,RENT,MEDICAL,11.71,0.18,670,No,24,40585,7350,3,0
male,Bachelor,5,OWN,EDUCATION,11.01,0.29,658,No,23,68104,20000,3,0
male,Bachelor,1,RENT,EDUCATION,11.01,0.14,671,No,23,51511,7400,3,0
female,High School,4,RENT,EDUCATION,16.32,0.14,686,No,25,51352,7400,4,1
female,Bachelor,0,RENT,PERSONAL,13.99,0.14,624,No,24,53990,7400,4,1
female,High School,0,MORTGAGE,MEDICAL,10.37,0.08,664,No,21,68287,5600,4,0
female,Bachelor,7,RENT,EDUCATION,10.36,0.1,637,No,25,70878,7400,2,0
male,Bachelor,3,RENT,DEBTCONSOLIDATION,6.99,0.1,557,Yes,25,75446,7400,2,0
male,Bachelor,3,MORTGAGE,EDUCATION,5.42,0.09,588,Yes,26,68152,6000,4,0
male,Associate,4,RENT,EDUCATION,15.65,0.08,618,Yes,24,87405,7400,3,0
female,Bachelor,3,MORTGAGE,EDUCATION,14.35,0.22,621,Yes,26,68226,15000,2,0
male,Associate,0,RENT,EDUCATION,9.63,0.18,634,Yes,22,42117,7475,2,0
male,Master,0,RENT,EDUCATION,7.05,0.46,521,No,21,16145,7500,4,1
female,Master,0,MORTGAGE,EDUCATION,6.76,0.04,582,Yes,23,68194,3000,3,0
male,Master,0,OWN,EDUCATION,11.49,0.03,640,Yes,24,68318,2000,2,0
male,Associate,0,MORTGAGE,PERSONAL,7.14,0.07,641,No,22,68228,4750,2,0
male,Associate,0,RENT,VENTURE,7.88,0.29,666,No,24,26031,7500,3,1
male,High School,3,MORTGAGE,DEBTCONSOLIDATION,7.51,0.08,587,Yes,23,68290,5500,4,0
